model,evaluation_scope,query_count,precision@10,mrr,ndcg@10,map
TF-IDF baseline,Full held-out test split,823,0.0391251518833535,0.1409499268467987,0.1323226964800668,0.1077232403860967
SBERT,Full held-out test split,823,0.028797083839611184,0.11027989722908313,0.09993305580608867,0.08327622268126247
FAISS (SBERT+IndexFlatIP),Full held-out test split,823,0.028797083839611184,0.09837991089509923,0.09993305580608867,0.0669938882352815
LLM reranker,Held-out 100-job test subset,100,0.037,0.144706973488803,0.12432360917132375,0.11746551999101319
