First Stage,Second Stage,P@10,MRR@10,MAP@10,nDCG@10,Queries,Runtime (s)
TFIDF,—,0.0391251518833535,0.1409499268467987,0.1077232403860967,0.1323226964800668,823,2.0355124159978004
TFIDF,Cross-Encoder,0.048,0.168595238095238,0.1053085317460317,0.159253007864517,100,1108.7713917910005
TFIDF,LLM,0.037,0.144706973488803,0.1174655199910131,0.1243236091713237,100,3555.2581574970827
SBERT,—,0.0287970838396111,0.1102798972290831,0.0832762226812624,0.0999330558060886,823,15.158127709000837
SBERT,Cross-Encoder,0.034,0.1203730158730158,0.0707936507936508,0.1113831608107223,100,1131.3112685410015
SBERT,LLM,0.032,0.1628836264702508,0.1057516820386421,0.1279772644147502,100,3420.1470422959683
SPLADE,—,0.0437424058323207,0.1549522182884634,0.1237142907340792,0.1581321519823378,823,491.05473745900963
SPLADE,Cross-Encoder,0.0449999999999999,0.140563492063492,0.0924632936507936,0.1429184047449055,100,925.7313049999939
SPLADE,LLM,0.0429999999999999,0.1695211126036853,0.1201144007731459,0.1566041952397593,100,3776.1784350029484
